feature,importance
pm25_rolling_mean_24,0.363318243727771
month_cos,0.08087657956407654
day_of_month,0.07413779442828976
pm25,0.04808677972127381
pm10_rolling_mean_24,0.04424338556594738
pressure,0.029599161851293677
aqi_lag_72,0.02496279660240207
month,0.024514480251028998
day_of_week,0.01837126297513085
aqi_rolling_mean_24,0.01699098420189166
aqi_lag_48,0.016279030145125564
aqi_lag_24,0.016143605933767596
aqi_rolling_std_24,0.015291499567331099
month_sin,0.0141176563647176
pm10,0.01302695222711401
aqi_change_24h,0.01083719467357182
humidity,0.009568828927790998
aqi_lag_12,0.009030791200928066
aqi_rolling_mean_12,0.008791387103909063
aqi,0.007588159603581176
pm10_lag_24,0.007146564125718569
so2_lag_24,0.006615755199905945
so2,0.006300141196680307
wind_direction,0.005930571197158186
temperature,0.005914351840127296
so2_lag_3,0.005579005695834456
wind_speed,0.005513508651427234
so2_lag_6,0.005443089333671952
aqi_rolling_mean_6,0.005332453299938172
so2_lag_1,0.005221235494050029
pm25_lag_1,0.004616693091304026
pm10_lag_1,0.004482291342125366
o3,0.004392394695006107
pm10_lag_6,0.004293723307664023
aqi_lag_6,0.004065989016948965
o3_lag_1,0.004014651007748883
aqi_rolling_mean_3,0.003949101608900383
o3_lag_6,0.003935061837267323
pm10_lag_3,0.0038643509782949653
pm25_lag_6,0.0038378925322077057
o3_lag_3,0.0037925304642356422
pm25_lag_24,0.003195838643931424
aqi_change_3h,0.0031267275609991522
aqi_lag_1,0.0030621591760402163
pm25_lag_3,0.0030381696126448917
no2_lag_6,0.0030374994723104958
no2,0.002839789930246125
o3_lag_24,0.002834909988337379
aqi_lag_3,0.0026313387475874832
no2_lag_1,0.0026196928669844936
no2_lag_24,0.002591041779892474
co_lag_24,0.0024253122423543686
hour,0.00240304202023654
co,0.002280969205006936
hour_cos,0.0022804712622721125
co_lag_6,0.0022762040643404093
no2_lag_3,0.0021689869426420073
co_lag_1,0.0020326013761962575
hour_sin,0.0020101608815982445
co_lag_3,0.0019538864218178213
aqi_change_1h,0.0011053833099059244
precipitation,6.788394149706114e-05
