feature,mean_abs_shap
aqi,11.180129
pm25_rolling_mean_24,3.2193346
aqi_lag_1,0.9366661
aqi_rolling_mean_3,0.6818051
o3_rolling_mean_6,0.38409194
pm25_change_24h,0.20566024
pm25_rolling_mean_12,0.18979715
aqi_rolling_max_3,0.15190285
aqi_rolling_min_3,0.1175213
aqi_rolling_min_6,0.100613445
so2_lag_12,0.06339682
o3,0.045810405
aqi_change_1h,0.041453764
pm25_rolling_mean_48,0.040230047
o3_lag_1,0.037672352
pm25,0.028428864
aqi_change_3h,0.028255768
pm10_change_24h,0.027487602
aqi_lag_6,0.025416708
o3_lag_3,0.021004403
pm10_rolling_mean_24,0.020691508
aqi_rolling_std_3,0.019542916
so2_lag_6,0.017934898
o3_change_1h,0.015866732
pm10_change_6h,0.015656034
aqi_lag_12,0.015583866
pm25_lag_24,0.015123081
o3_rolling_mean_12,0.015120471
pm25_lag_1,0.0129814865
so2_lag_48,0.012549558
aqi_lag_3,0.012355642
no2_rolling_std_6,0.012052356
aqi_rolling_std_6,0.011528067
pm10_rolling_std_24,0.010804092
o3_change_6h,0.010197001
pm25_rolling_std_24,0.010155733
so2_lag_1,0.0099899275
so2,0.009960249
co_lag_12,0.009911953
pm25_rolling_mean_6,0.00946623
pm25_lag_3,0.009444039
o3_rolling_std_6,0.009381967
aqi_rolling_min_12,0.009132184
aqi_change_24h,0.009094816
so2_lag_3,0.0082015535
pm25_change_1h,0.007634263
aqi_lag_2,0.007412907
pm25_rolling_std_48,0.0069861133
pm25_lag_6,0.00683919
pm10,0.0067364294
no2,0.0066255275
humidity,0.0065587964
aqi_rolling_max_12,0.0065142903
aqi_rolling_mean_6,0.0063938745
aqi_change_6h,0.0061689387
pm25_rolling_std_72,0.0057699336
pm10_lag_1,0.0057607125
no2_rolling_mean_12,0.005569614
co,0.004988282
no2_rolling_std_24,0.0047596474
o3_lag_6,0.0044851634
no2_rolling_mean_6,0.0044386215
pm10_lag_24,0.0044375695
aqi_rolling_mean_168,0.004282936
co_lag_6,0.0042383503
no2_lag_1,0.004093475
co_lag_3,0.003940212
no2_rolling_mean_72,0.0039036484
o3_rolling_mean_72,0.003889409
o3_lag_12,0.0038387962
no2_change_1h,0.0037305558
o3_lag_24,0.0036300928
pm10_lag_6,0.0035991084
no2_lag_24,0.0035587784
no2_lag_12,0.0035211758
hour,0.0034818077
wind_speed,0.0034802135
pm10_rolling_std_72,0.003282791
pm25_lag_12,0.003168619
no2_rolling_mean_48,0.003116803
pm10_rolling_mean_6,0.0031128994
aqi_lag_72,0.0030335528
no2_rolling_std_72,0.0029760215
so2_lag_24,0.0029700778
aqi_rolling_max_6,0.0028519894
pm25_change_6h,0.0027685296
so2_lag_168,0.0026498288
pm10_rolling_mean_12,0.0025557468
co_lag_168,0.002317598
aqi_rolling_std_12,0.002252726
pm25_rolling_mean_72,0.00222046
pm10_rolling_std_6,0.002211339
no2_rolling_mean_24,0.002176937
aqi_rolling_std_168,0.0021315252
day_of_week,0.002108263
o3_change_24h,0.0020277887
o3_rolling_std_24,0.0020149627
aqi_lag_18,0.001990827
pm25_rolling_std_6,0.001934478
aqi_lag_24,0.0018982145
aqi_rolling_mean_12,0.0018857397
pm10_rolling_mean_72,0.0017595319
pm10_change_1h,0.0017486848
no2_change_24h,0.001741271
no2_lag_6,0.0017407737
aqi_rolling_max_168,0.0017301044
aqi_change_48h,0.0017215194
aqi_rolling_mean_72,0.0017149395
pm10_rolling_mean_48,0.0017101287
aqi_change_12h,0.0016889395
aqi_lag_168,0.0016829987
no2_change_6h,0.001679858
no2_rolling_std_48,0.001651048
o3_rolling_mean_48,0.0015743099
pm10_lag_12,0.0015586256
doy_cos,0.0015285754
aqi_rolling_std_48,0.0015047691
dow_sin,0.0014895116
no2_lag_3,0.0014707829
no2_lag_168,0.0014594431
co_lag_48,0.0014459365
no2_lag_48,0.0013496162
temperature,0.0013417391
pm10_lag_3,0.0013310799
o3_rolling_std_12,0.0013269329
aqi_rolling_std_72,0.0012958663
pressure,0.0012494815
co_lag_1,0.0012488413
day_of_year,0.0012459055
aqi_rolling_max_24,0.0012353797
o3_rolling_std_48,0.0011687829
aqi_lag_48,0.0011305361
pm25_lag_48,0.0011152605
pm25_lag_168,0.0011141222
hour_sin,0.0011062239
aqi_rolling_min_168,0.0010272599
pm10_lag_168,0.0010167346
pm10_rolling_std_48,0.0010147417
co_lag_24,0.0009962812
o3_rolling_mean_24,0.0009886071
o3_rolling_std_72,0.0009496791
aqi_rolling_mean_24,0.00086358894
aqi_rolling_std_24,0.0008599689
no2_rolling_std_12,0.0008577001
aqi_rolling_min_24,0.00077761634
aqi_rolling_min_72,0.00073979
pm10_rolling_std_12,0.00072918367
aqi_rolling_min_48,0.00069670205
aqi_rolling_mean_48,0.00068318023
o3_lag_168,0.0006140956
pm10_lag_48,0.00058152113
aqi_rolling_max_48,0.0005590975
pm25_rolling_std_12,0.0005486188
o3_lag_48,0.0005412497
day_of_month,0.0004238969
aqi_change_72h,0.0004167067
dow_cos,0.00038462953
hour_cos,0.00037720817
wind_direction,0.00029884028
aqi_rolling_max_72,0.00023374021
doy_sin,0.00022832342
month,7.074629e-05
is_weekend,1.1486114e-05
precipitation,0.0
